"Notes"	"Year"	"Year Code"	"County"	"County Code"	"UCD - Drug/Alcohol Induced Causes"	"UCD - Drug/Alcohol Induced Causes Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"1999"	"1999"	"Autauga County, AL"	"01001"	"All Other Causes"	"O"	354	42963	823.96481	43.79324
	"1999"	"1999"	"Baldwin County, AL"	"01003"	"Drug-Induced Causes"	"D"	13	137555	Unreliable	2.62117
	"1999"	"1999"	"Baldwin County, AL"	"01003"	"Alcohol-Induced Causes"	"A"	10	137555	Unreliable	2.29892
	"1999"	"1999"	"Baldwin County, AL"	"01003"	"All Other Causes"	"O"	1267	137555	921.08611	25.87688
	"1999"	"1999"	"Barbour County, AL"	"01005"	"All Other Causes"	"O"	287	28866	994.24929	58.68868
	"1999"	"1999"	"Bibb County, AL"	"01007"	"All Other Causes"	"O"	219	20560	1065.17510	71.97786
	"1999"	"1999"	"Blount County, AL"	"01009"	"All Other Causes"	"O"	448	50237	891.77300	42.13231
	"1999"	"1999"	"Bullock County, AL"	"01011"	"All Other Causes"	"O"	143	11755	1216.50362	101.72914
	"1999"	"1999"	"Butler County, AL"	"01013"	"All Other Causes"	"O"	304	21605	1407.08169	80.70167
	"1999"	"1999"	"Calhoun County, AL"	"01015"	"All Other Causes"	"O"	1220	114910	1061.70046	30.39640
	"1999"	"1999"	"Chambers County, AL"	"01017"	"All Other Causes"	"O"	485	36527	1327.78493	60.29161
	"1999"	"1999"	"Cherokee County, AL"	"01019"	"All Other Causes"	"O"	285	23605	1207.37132	71.51850
	"1999"	"1999"	"Chilton County, AL"	"01021"	"All Other Causes"	"O"	408	38862	1049.86877	51.97625
	"1999"	"1999"	"Choctaw County, AL"	"01023"	"All Other Causes"	"O"	160	15931	1004.33118	79.39935
	"1999"	"1999"	"Clarke County, AL"	"01025"	"All Other Causes"	"O"	297	27919	1063.79168	61.72745
	"1999"	"1999"	"Clay County, AL"	"01027"	"All Other Causes"	"O"	179	14174	1262.87569	94.39176
	"1999"	"1999"	"Cleburne County, AL"	"01029"	"All Other Causes"	"O"	147	14039	1047.08313	86.36196
	"1999"	"1999"	"Coffee County, AL"	"01031"	"All Other Causes"	"O"	385	43667	881.67266	44.93420
	"1999"	"1999"	"Colbert County, AL"	"01033"	"All Other Causes"	"O"	605	54715	1105.72969	44.95430
	"1999"	"1999"	"Conecuh County, AL"	"01035"	"All Other Causes"	"O"	204	14158	1440.88148	100.88188
	"1999"	"1999"	"Coosa County, AL"	"01037"	"All Other Causes"	"O"	140	12135	1153.68768	97.50441
	"1999"	"1999"	"Covington County, AL"	"01039"	"All Other Causes"	"O"	510	37843	1347.67328	59.67598
	"1999"	"1999"	"Crenshaw County, AL"	"01041"	"All Other Causes"	"O"	176	13584	1295.64193	97.66269
	"1999"	"1999"	"Cullman County, AL"	"01043"	"All Other Causes"	"O"	814	77065	1056.25122	37.02159
	"1999"	"1999"	"Dale County, AL"	"01045"	"All Other Causes"	"O"	434	49118	883.58647	42.41351
	"1999"	"1999"	"Dallas County, AL"	"01047"	"All Other Causes"	"O"	557	46722	1192.15787	50.51335
	"1999"	"1999"	"DeKalb County, AL"	"01049"	"All Other Causes"	"O"	664	63593	1044.14008	40.52049
	"1999"	"1999"	"Elmore County, AL"	"01051"	"All Other Causes"	"O"	600	64668	927.81592	37.87793
	"1999"	"1999"	"Escambia County, AL"	"01053"	"All Other Causes"	"O"	436	38336	1137.31219	54.46738
	"1999"	"1999"	"Etowah County, AL"	"01055"	"All Other Causes"	"O"	1238	104002	1190.36172	33.83130
	"1999"	"1999"	"Fayette County, AL"	"01057"	"All Other Causes"	"O"	226	18496	1221.88581	81.27864
	"1999"	"1999"	"Franklin County, AL"	"01059"	"All Other Causes"	"O"	401	31163	1286.78240	64.25885
	"1999"	"1999"	"Geneva County, AL"	"01061"	"All Other Causes"	"O"	311	25585	1215.55599	68.92786
	"1999"	"1999"	"Greene County, AL"	"01063"	"All Other Causes"	"O"	118	10004	1179.52819	108.58437
	"1999"	"1999"	"Hale County, AL"	"01065"	"All Other Causes"	"O"	208	16982	1224.82629	84.92642
	"1999"	"1999"	"Henry County, AL"	"01067"	"All Other Causes"	"O"	197	16129	1221.40244	87.02132
	"1999"	"1999"	"Houston County, AL"	"01069"	"All Other Causes"	"O"	850	88256	963.10732	33.03431
	"1999"	"1999"	"Jackson County, AL"	"01071"	"All Other Causes"	"O"	542	53433	1014.35443	43.57025
	"1999"	"1999"	"Jefferson County, AL"	"01073"	"Drug-Induced Causes"	"D"	42	662845	6.33632	0.97772
	"1999"	"1999"	"Jefferson County, AL"	"01073"	"Alcohol-Induced Causes"	"A"	68	662845	10.25881	1.24406
	"1999"	"1999"	"Jefferson County, AL"	"01073"	"All Other Causes"	"O"	7315	662845	1103.57625	12.90313
	"1999"	"1999"	"Lamar County, AL"	"01075"	"All Other Causes"	"O"	174	15889	1095.09724	83.01911
	"1999"	"1999"	"Lauderdale County, AL"	"01077"	"All Other Causes"	"O"	831	87590	948.73844	32.91137
	"1999"	"1999"	"Lawrence County, AL"	"01079"	"All Other Causes"	"O"	333	34537	964.18334	52.83692
	"1999"	"1999"	"Lee County, AL"	"01081"	"All Other Causes"	"O"	697	112898	617.37143	23.38461
	"1999"	"1999"	"Limestone County, AL"	"01083"	"All Other Causes"	"O"	537	64880	827.68187	35.71711
	"1999"	"1999"	"Lowndes County, AL"	"01085"	"All Other Causes"	"O"	128	13361	958.01212	84.67711
	"1999"	"1999"	"Macon County, AL"	"01087"	"All Other Causes"	"O"	258	24085	1071.20614	66.69038
	"1999"	"1999"	"Madison County, AL"	"01089"	"Drug-Induced Causes"	"D"	12	274692	Unreliable	1.26109
	"1999"	"1999"	"Madison County, AL"	"01089"	"All Other Causes"	"O"	2003	274692	729.18032	16.29275
	"1999"	"1999"	"Marengo County, AL"	"01091"	"All Other Causes"	"O"	270	22519	1198.98752	72.96806
	"1999"	"1999"	"Marion County, AL"	"01093"	"All Other Causes"	"O"	385	31264	1231.44831	62.76042
	"1999"	"1999"	"Marshall County, AL"	"01095"	"All Other Causes"	"O"	917	81992	1118.40180	36.93288
	"1999"	"1999"	"Mobile County, AL"	"01097"	"Drug-Induced Causes"	"D"	29	399323	7.26229	1.34857
	"1999"	"1999"	"Mobile County, AL"	"01097"	"Alcohol-Induced Causes"	"A"	22	399323	5.50932	1.17459
	"1999"	"1999"	"Mobile County, AL"	"01097"	"All Other Causes"	"O"	3811	399323	954.36526	15.45949
	"1999"	"1999"	"Monroe County, AL"	"01099"	"All Other Causes"	"O"	263	24440	1076.10475	66.35546
	"1999"	"1999"	"Montgomery County, AL"	"01101"	"Drug-Induced Causes"	"D"	12	223548	Unreliable	1.54960
	"1999"	"1999"	"Montgomery County, AL"	"01101"	"Alcohol-Induced Causes"	"A"	11	223548	Unreliable	1.48363
	"1999"	"1999"	"Montgomery County, AL"	"01101"	"All Other Causes"	"O"	2084	223548	932.23827	20.42105
	"1999"	"1999"	"Morgan County, AL"	"01103"	"All Other Causes"	"O"	1018	110670	919.85181	28.82996
	"1999"	"1999"	"Perry County, AL"	"01105"	"All Other Causes"	"O"	150	12001	1249.89584	102.05357
	"1999"	"1999"	"Pickens County, AL"	"01107"	"All Other Causes"	"O"	235	21036	1117.13253	72.87369
	"1999"	"1999"	"Pike County, AL"	"01109"	"All Other Causes"	"O"	309	29469	1048.55950	59.65047
	"1999"	"1999"	"Randolph County, AL"	"01111"	"All Other Causes"	"O"	273	22072	1236.86118	74.85824
	"1999"	"1999"	"Russell County, AL"	"01113"	"All Other Causes"	"O"	548	49982	1096.39470	46.83566
	"1999"	"1999"	"St. Clair County, AL"	"01115"	"All Other Causes"	"O"	588	63650	923.80204	38.09695
	"1999"	"1999"	"Shelby County, AL"	"01117"	"All Other Causes"	"O"	846	140502	602.12666	20.70154
	"1999"	"1999"	"Sumter County, AL"	"01119"	"All Other Causes"	"O"	187	14976	1248.66453	91.31139
	"1999"	"1999"	"Talladega County, AL"	"01121"	"All Other Causes"	"O"	885	79971	1106.65116	37.19967
	"1999"	"1999"	"Tallapoosa County, AL"	"01123"	"All Other Causes"	"O"	511	41649	1226.92021	54.27575
	"1999"	"1999"	"Tuscaloosa County, AL"	"01125"	"Alcohol-Induced Causes"	"A"	11	164411	Unreliable	2.01728
	"1999"	"1999"	"Tuscaloosa County, AL"	"01125"	"All Other Causes"	"O"	1438	164411	874.63734	23.06474
	"1999"	"1999"	"Walker County, AL"	"01127"	"All Other Causes"	"O"	949	70784	1340.69846	43.52091
	"1999"	"1999"	"Washington County, AL"	"01129"	"All Other Causes"	"O"	141	18003	783.20280	65.95757
	"1999"	"1999"	"Wilcox County, AL"	"01131"	"All Other Causes"	"O"	161	13261	1214.08642	95.68341
	"1999"	"1999"	"Winston County, AL"	"01133"	"All Other Causes"	"O"	298	24679	1207.50436	69.94885
	"1999"	"1999"	"Aleutians West Census Area, AK"	"02016"	"All Other Causes"	"O"	15	5396	Unreliable	71.77508
	"1999"	"1999"	"Anchorage Borough, AK"	"02020"	"Drug-Induced Causes"	"D"	25	259348	9.63956	1.92791
	"1999"	"1999"	"Anchorage Borough, AK"	"02020"	"Alcohol-Induced Causes"	"A"	34	259348	13.10980	2.24831
	"1999"	"1999"	"Anchorage Borough, AK"	"02020"	"All Other Causes"	"O"	946	259348	364.76086	11.85940
	"1999"	"1999"	"Bethel Census Area, AK"	"02050"	"All Other Causes"	"O"	83	15841	523.95682	57.51173
	"1999"	"1999"	"Dillingham Census Area, AK"	"02070"	"All Other Causes"	"O"	23	4872	472.08539	98.43661
	"1999"	"1999"	"Fairbanks North Star Borough, AK"	"02090"	"Drug-Induced Causes"	"D"	10	83390	Unreliable	3.79215
	"1999"	"1999"	"Fairbanks North Star Borough, AK"	"02090"	"Alcohol-Induced Causes"	"A"	10	83390	Unreliable	3.79215
	"1999"	"1999"	"Fairbanks North Star Borough, AK"	"02090"	"All Other Causes"	"O"	320	83390	383.73906	21.45167
	"1999"	"1999"	"Haines Borough, AK"	"02100"	"All Other Causes"	"O"	18	2354	Unreliable	180.23113
	"1999"	"1999"	"Juneau Borough, AK"	"02110"	"All Other Causes"	"O"	119	30724	387.31936	35.50551
	"1999"	"1999"	"Kenai Peninsula Borough, AK"	"02122"	"All Other Causes"	"O"	230	49729	462.50679	30.49679
	"1999"	"1999"	"Ketchikan Gateway Borough, AK"	"02130"	"All Other Causes"	"O"	96	14302	671.23479	68.50761
	"1999"	"1999"	"Kodiak Island Borough, AK"	"02150"	"All Other Causes"	"O"	47	13760	341.56977	49.82307
	"1999"	"1999"	"Matanuska-Susitna Borough, AK"	"02170"	"All Other Causes"	"O"	240	57824	415.05257	26.79153
	"1999"	"1999"	"Nome Census Area, AK"	"02180"	"All Other Causes"	"O"	57	9204	619.29596	82.02775
	"1999"	"1999"	"North Slope Borough, AK"	"02185"	"All Other Causes"	"O"	34	7384	460.45504	78.96739
	"1999"	"1999"	"Northwest Arctic Borough, AK"	"02188"	"All Other Causes"	"O"	35	7113	492.05680	83.17278
	"1999"	"1999"	"Prince of Wales-Outer Ketchikan Census Area, AK"	"02201"	"All Other Causes"	"O"	22	6210	354.26731	75.53004
	"1999"	"1999"	"Sitka Borough, AK"	"02220"	"All Other Causes"	"O"	54	8805	613.28790	83.45791
	"1999"	"1999"	"Skagway-Hoonah-Angoon Census Area, AK"	"02232"	"All Other Causes"	"O"	11	3453	Unreliable	96.05053
	"1999"	"1999"	"Southeast Fairbanks Census Area, AK"	"02240"	"All Other Causes"	"O"	25	6169	405.25207	81.05041
	"1999"	"1999"	"Valdez-Cordova Census Area, AK"	"02261"	"All Other Causes"	"O"	29	10077	287.78406	53.44016
	"1999"	"1999"	"Wade Hampton Census Area, AK"	"02270"	"All Other Causes"	"O"	40	6929	577.28388	91.27660
	"1999"	"1999"	"Wrangell-Petersburg Census Area, AK"	"02280"	"All Other Causes"	"O"	47	6681	703.48750	102.61420
	"1999"	"1999"	"Yukon-Koyukuk Census Area, AK"	"02290"	"All Other Causes"	"O"	51	8472	601.98300	84.29448
	"1999"	"1999"	"Apache County, AZ"	"04001"	"Alcohol-Induced Causes"	"A"	20	69801	28.65288	6.40698
